gene,pathway
MGP005762,"[('C', 'apical plasma membrane'), ('C', 'ATP-binding cassette (ABC) transporter complex'), ('C', 'plasma membrane'), ('C', 'receptor complex'), ('F', 'ATPase activity'), ('F', 'ATP binding'), ('F', 'cholesterol transporter activity'), ('F', 'protein heterodimerization activity'), ('P', 'ATP catabolic process'), ('P', 'cholesterol efflux'), ('P', 'cholesterol homeostasis'), ('P', 'excretion'), ('P', 'intestinal cholesterol absorption'), ('P', 'negative regulation of intestinal cholesterol absorption'), ('P', 'negative regulation of intestinal phytosterol absorption'), ('P', 'response to drug'), ('P', 'response to ionizing radiation'), ('P', 'response to nutrient'), ('P', 'small molecule metabolic process'), ('P', 'sterol transport'), ('P', 'transmembrane transport')]"
MGP005763,"[('C', 'apical plasma membrane'), ('C', 'ATP-binding cassette (ABC) transporter complex'), ('C', 'plasma membrane'), ('C', 'receptor complex'), ('F', 'ATPase activity'), ('F', 'ATP binding'), ('F', 'protein heterodimerization activity'), ('F', 'sterol transporter activity'), ('P', 'ATP catabolic process'), ('P', 'cholesterol efflux'), ('P', 'cholesterol homeostasis'), ('P', 'excretion'), ('P', 'intestinal cholesterol absorption'), ('P', 'negative regulation of intestinal cholesterol absorption'), ('P', 'negative regulation of intestinal phytosterol absorption'), ('P', 'phospholipid transport'), ('P', 'response to drug'), ('P', 'response to nutrient'), ('P', 'small molecule metabolic process'), ('P', 'sterol transport'), ('P', 'transmembrane transport')]"
MGP005118,"[('C', 'cytoplasm'), ('C', 'cytosol'), ('C', 'intracellular membrane-bounded organelle'), ('C', 'lipid particle'), ('C', 'nucleus'), ('F', '1-acylglycerol-3-phosphate O-acyltransferase activity'), ('F', 'lysophosphatidic acid acyltransferase activity'), ('P', 'cell differentiation'), ('P', 'fatty acid metabolic process'), ('P', 'negative regulation of sequestering of triglyceride'), ('P', 'phosphatidic acid biosynthetic process'), ('P', 'positive regulation of lipoprotein lipase activity'), ('P', 'positive regulation of triglyceride catabolic process'), ('P', 'small molecule metabolic process'), ('P', 'triglyceride catabolic process')]"
MGP004083,"[('C', 'cell junction'), ('C', 'cytoskeleton'), ('C', 'cytosol'), ('C', 'endoplasmic reticulum'), ('C', 'extracellular vesicular exosome'), ('C', 'filopodium'), ('C', 'growth cone'), ('C', 'intracellular'), ('C', 'lamellipodium'), ('C', 'nucleus'), ('C', 'postsynaptic density'), ('C', 'postsynaptic membrane'), ('C', 'SCAR complex'), ('F', 'cytoskeletal protein binding'), ('F', 'protein complex binding'), ('F', 'protein tyrosine kinase activator activity'), ('P', 'actin polymerization or depolymerization'), ('P', 'cellular component movement'), ('P', 'Fc-gamma receptor signaling pathway involved in phagocytosis'), ('P', 'innate immune response'), ('P', 'lamellipodium morphogenesis'), ('P', 'megakaryocyte development'), ('P', 'negative regulation of cell proliferation'), ('P', 'peptidyl-tyrosine phosphorylation'), ('P', 'somitogenesis'), ('P', 'transmembrane receptor protein tyrosine kinase signaling pathway')]"
MGP004142,"[('C', 'cytoplasm'), ('C', 'cytoskeleton'), ('C', 'cytosol'), ('C', 'filopodium'), ('C', 'lamellipodium'), ('C', 'SCAR complex'), ('F', 'cytoskeletal adaptor activity'), ('F', 'DNA binding'), ('F', 'kinase binding'), ('F', 'proline-rich region binding'), ('F', 'protein complex binding'), ('F', 'SH3 domain binding'), ('F', 'ubiquitin protein ligase binding'), ('P', 'actin polymerization or depolymerization'), ('P', 'cell migration'), ('P', 'cellular component movement'), ('P', 'cytoskeleton organization'), ('P', 'peptidyl-tyrosine phosphorylation'), ('P', 'positive regulation of Arp2/3 complex-mediated actin nucleation'), ('P', 'Rac protein signal transduction')]"
MGP000011,"[('C', 'actin cytoskeleton'), ('C', 'cell leading edge'), ('C', 'cytoplasm'), ('C', 'cytosol'), ('C', 'extrinsic component of cytoplasmic side of plasma membrane'), ('C', 'mitochondrion'), ('C', 'nuclear membrane'), ('C', 'nucleolus'), ('C', 'nucleoplasm'), ('C', 'nucleus'), ('C', 'perinuclear region of cytoplasm'), ('F', 'actin monomer binding'), ('F', 'ATP binding'), ('F', 'DNA binding'), ('F', 'magnesium ion binding'), ('F', 'manganese ion binding'), ('F', 'mitogen-activated protein kinase binding'), ('F', 'nicotinate-nucleotide adenylyltransferase activity'), ('F', 'non-membrane spanning protein tyrosine kinase activity'), ('F', 'proline-rich region binding'), ('F', 'protein C-terminus binding'), ('F', 'protein kinase activity'), ('F', 'protein tyrosine kinase activity'), ('F', 'receptor binding'), ('F', 'SH3 domain binding'), ('F', 'syntaxin binding'), ('P', 'actin cytoskeleton organization'), ('P', 'autophagy'), ('P', 'axon guidance'), ('P', 'blood coagulation'), ('P', 'cell adhesion'), ('P', 'cell cycle arrest'), ('P', 'cell differentiation'), ('P', 'cell migration'), ('P', 'cellular protein modification process'), ('P', 'cellular response to DNA damage stimulus'), ('P', 'cellular response to dopamine'), ('P', 'cellular response to oxidative stress'), ('P', 'DNA damage induced protein phosphorylation'), ('P', 'epidermal growth factor receptor signaling pathway'), ('P', 'Fc-gamma receptor signaling pathway involved in phagocytosis'), ('P', 'innate immune response'), ('P', 'intrinsic apoptotic signaling pathway in response to DNA damage'), ('P', 'mismatch repair'), ('P', 'mitochondrial depolarization'), ('P', 'mitotic nuclear division'), ('P', 'muscle cell differentiation'), ('P', 'negative regulation of phospholipase C activity'), ('P', 'negative regulation of protein serine/threonine kinase activity'), ('P', 'negative regulation of ubiquitin-protein transferase activity'), ('P', 'peptidyl-tyrosine autophosphorylation'), ('P', 'peptidyl-tyrosine phosphorylation'), ('P', 'platelet-derived growth factor receptor signaling pathway'), ('P', 'positive regulation of apoptotic process'), ('P', 'positive regulation of cytosolic calcium ion concentration'), ('P', 'positive regulation of muscle cell differentiation'), ('P', 'positive regulation of oxidoreductase activity'), ('P', 'positive regulation of peptidyl-tyrosine phosphorylation'), ('P', 'regulation of actin cytoskeleton reorganization'), ('P', 'regulation of autophagy'), ('P', 'regulation of cell adhesion'), ('P', 'regulation of cell motility'), ('P', 'regulation of cell proliferation'), ('P', 'regulation of endocytosis'), ('P', 'regulation of response to DNA damage stimulus'), ('P', 'regulation of transcription, DNA-templated'), ('P', 'response to oxidative stress'), ('P', 'signal transduction in response to DNA damage')]"
MGP000013,"[('C', 'actin cytoskeleton'), ('C', 'cytosol'), ('F', 'actin filament binding'), ('F', 'actin monomer binding'), ('F', 'ATP binding'), ('F', 'magnesium ion binding'), ('F', 'manganese ion binding'), ('F', 'non-membrane spanning protein tyrosine kinase activity'), ('F', 'protein kinase activity'), ('F', 'protein tyrosine kinase activity'), ('P', 'actin filament bundle assembly'), ('P', 'axon guidance'), ('P', 'cell adhesion'), ('P', 'cellular protein modification process'), ('P', 'cellular response to retinoic acid'), ('P', 'peptidyl-tyrosine phosphorylation'), ('P', 'positive regulation of cytosolic calcium ion concentration'), ('P', 'positive regulation of neuron projection development'), ('P', 'positive regulation of oxidoreductase activity'), ('P', 'positive regulation of phospholipase C activity'), ('P', 'regulation of actin cytoskeleton reorganization'), ('P', 'regulation of autophagy'), ('P', 'regulation of cell adhesion'), ('P', 'regulation of cell motility'), ('P', 'regulation of endocytosis'), ('P', 'signal transduction')]"
MGP001819,"[('C', 'actin cytoskeleton'), ('C', 'cytoplasm'), ('C', 'lamellipodium'), ('C', 'stress fiber'), ('F', 'actin binding'), ('F', 'zinc ion binding'), ('P', 'axon guidance'), ('P', 'cilium assembly'), ('P', 'cytoskeleton organization'), ('P', 'lamellipodium assembly'), ('P', 'organ morphogenesis'), ('P', 'positive regulation of transcription from RNA polymerase II promoter'), ('P', 'visual perception')]"
MGP006135,"[('C', 'actin cytoskeleton'), ('C', 'myofibril'), ('F', 'zinc ion binding'), ('P', 'actin cytoskeleton organization'), ('P', 'axon guidance'), ('P', 'positive regulation of transcription from RNA polymerase II promoter'), ('P', 'transcription, DNA-templated')]"
MGP004532,"[('C', 'cytoplasm'), ('C', 'lamellipodium'), ('C', 'stress fiber'), ('F', 'zinc ion binding'), ('P', 'actin cytoskeleton organization'), ('P', 'axon guidance'), ('P', 'cilium assembly'), ('P', 'lamellipodium assembly'), ('P', 'positive regulation of transcription from RNA polymerase II promoter'), ('P', 'transcription, DNA-templated')]"
MGP000014,"[('C', 'cytosol'), ('C', 'membrane'), ('C', 'plasma membrane'), ('F', 'GTPase activator activity'), ('F', 'Rac GTPase activator activity'), ('F', 'Rho guanyl-nucleotide exchange factor activity'), ('P', 'actin cytoskeleton organization'), ('P', 'apoptotic signaling pathway'), ('P', 'brain development'), ('P', 'inner ear morphogenesis'), ('P', 'negative regulation of cell migration'), ('P', 'negative regulation of inflammatory response'), ('P', 'negative regulation of neutrophil degranulation'), ('P', 'neuromuscular process controlling balance'), ('P', 'neurotrophin TRK receptor signaling pathway'), ('P', 'positive regulation of apoptotic process'), ('P', 'positive regulation of phagocytosis'), ('P', 'regulation of small GTPase mediated signal transduction'), ('P', 'response to lipopolysaccharide'), ('P', 'small GTPase mediated signal transduction')]"
MGP000015,"[('C', 'intracellular membrane-bounded organelle'), ('C', 'membrane'), ('C', 'peroxisomal matrix'), ('C', 'peroxisome'), ('F', 'acetyl-CoA C-acyltransferase activity'), ('F', 'palmitoyl-CoA oxidase activity'), ('P', 'alpha-linolenic acid metabolic process'), ('P', 'bile acid metabolic process'), ('P', 'cellular lipid metabolic process'), ('P', 'fatty acid beta-oxidation'), ('P', 'fatty acid beta-oxidation using acyl-CoA oxidase'), ('P', 'small molecule metabolic process'), ('P', 'unsaturated fatty acid metabolic process'), ('P', 'very long-chain fatty acid metabolic process')]"
MGP004244,"[('C', 'extracellular vesicular exosome'), ('C', 'mitochondrial inner membrane'), ('C', 'mitochondrion'), ('F', 'acetyl-CoA C-acyltransferase activity'), ('F', 'poly(A) RNA binding'), ('P', 'cellular response to hypoxia'), ('P', 'cholesterol biosynthetic process'), ('P', 'fatty acid metabolic process'), ('P', 'negative regulation of mitochondrial membrane permeability involved in apoptotic process'), ('P', 'negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway')]"
MGP000016,"[('C', 'actin cytoskeleton'), ('C', 'cytoplasm'), ('C', 'cytosol'), ('C', 'extracellular vesicular exosome'), ('C', 'mitochondrion'), ('C', 'nucleolus'), ('F', 'acetyl-CoA carboxylase activity'), ('F', 'ATP binding'), ('F', 'biotin carboxylase activity'), ('F', 'metal ion binding'), ('P', 'acetyl-CoA metabolic process'), ('P', 'biotin metabolic process'), ('P', 'carnitine shuttle'), ('P', 'cellular lipid metabolic process'), ('P', 'energy reserve metabolic process'), ('P', 'fatty acid biosynthetic process'), ('P', 'lipid homeostasis'), ('P', 'long-chain fatty-acyl-CoA biosynthetic process'), ('P', 'malonyl-CoA biosynthetic process'), ('P', 'multicellular organismal protein metabolic process'), ('P', 'positive regulation of cellular metabolic process'), ('P', 'protein homotetramerization'), ('P', 'small molecule metabolic process'), ('P', 'tissue homeostasis'), ('P', 'triglyceride biosynthetic process'), ('P', 'vitamin metabolic process'), ('P', 'water-soluble vitamin metabolic process')]"
MGP000017,"[('C', 'cytosol'), ('C', 'endomembrane system'), ('C', 'mitochondrial outer membrane'), ('C', 'mitochondrion'), ('C', 'nucleus'), ('F', 'acetyl-CoA carboxylase activity'), ('F', 'ATP binding'), ('F', 'biotin binding'), ('F', 'biotin carboxylase activity'), ('F', 'metal ion binding'), ('P', 'acetyl-CoA metabolic process'), ('P', 'biotin metabolic process'), ('P', 'carnitine shuttle'), ('P', 'cellular lipid metabolic process'), ('P', 'energy reserve metabolic process'), ('P', 'fatty acid biosynthetic process'), ('P', 'malonyl-CoA biosynthetic process'), ('P', 'positive regulation of cellular metabolic process'), ('P', 'protein homotetramerization'), ('P', 'response to drug'), ('P', 'response to organic cyclic compound'), ('P', 'small molecule metabolic process'), ('P', 'vitamin metabolic process'), ('P', 'water-soluble vitamin metabolic process')]"
MGP004906,"[('C', 'mitochondrial matrix'), ('F', 'acyl-CoA dehydrogenase activity'), ('F', 'flavin adenine dinucleotide binding'), ('P', 'branched-chain amino acid catabolic process'), ('P', 'cellular nitrogen compound metabolic process'), ('P', 'lipid metabolic process'), ('P', 'regulation of transcription, DNA-templated'), ('P', 'small molecule metabolic process'), ('P', 'transcription, DNA-templated'), ('P', 'valine catabolic process')]"
MGP000018,"[('C', 'cytoplasm'), ('C', 'mitochondrial matrix'), ('C', 'mitochondrial membrane'), ('C', 'mitochondrion'), ('F', 'acyl-CoA dehydrogenase activity'), ('F', 'fatty-acyl-CoA binding'), ('F', 'flavin adenine dinucleotide binding'), ('F', 'long-chain-acyl-CoA dehydrogenase activity'), ('F', 'palmitoyl-CoA oxidase activity'), ('P', 'carnitine catabolic process'), ('P', 'carnitine metabolic process, CoA-linked'), ('P', 'cellular lipid catabolic process'), ('P', 'cellular lipid metabolic process'), ('P', 'fatty acid beta-oxidation'), ('P', 'fatty acid beta-oxidation using acyl-CoA dehydrogenase'), ('P', 'long-chain fatty acid catabolic process'), ('P', 'negative regulation of fatty acid biosynthetic process'), ('P', 'negative regulation of fatty acid oxidation'), ('P', 'oxidation-reduction process'), ('P', 'protein homotetramerization'), ('P', 'regulation of cholesterol metabolic process'), ('P', 'small molecule metabolic process'), ('P', 'temperature homeostasis')]"
MGP000019,"[('C', 'axon'), ('C', 'extracellular vesicular exosome'), ('C', 'mitochondrial matrix'), ('C', 'mitochondrion'), ('C', 'nucleus'), ('F', 'acyl-CoA dehydrogenase activity'), ('F', 'flavin adenine dinucleotide binding'), ('F', 'identical protein binding'), ('F', 'medium-chain-acyl-CoA dehydrogenase activity'), ('P', 'carnitine biosynthetic process'), ('P', 'carnitine metabolic process, CoA-linked'), ('P', 'cellular lipid metabolic process'), ('P', 'fatty acid beta-oxidation'), ('P', 'fatty acid beta-oxidation using acyl-CoA dehydrogenase'), ('P', 'medium-chain fatty acid catabolic process'), ('P', 'medium-chain fatty acid metabolic process'), ('P', 'oxidation-reduction process'), ('P', 'small molecule metabolic process')]"
MGP000020,"[('C', 'mitochondrial matrix'), ('C', 'mitochondrial membrane'), ('C', 'mitochondrion'), ('C', 'nucleus'), ('F', 'acyl-CoA dehydrogenase activity'), ('F', 'butyryl-CoA dehydrogenase activity'), ('F', 'fatty-acyl-CoA binding'), ('F', 'flavin adenine dinucleotide binding'), ('P', 'butyrate catabolic process'), ('P', 'cellular lipid metabolic process'), ('P', 'fatty acid beta-oxidation'), ('P', 'fatty acid beta-oxidation using acyl-CoA dehydrogenase'), ('P', 'protein homotetramerization'), ('P', 'response to glucocorticoid'), ('P', 'response to starvation'), ('P', 'small molecule metabolic process')]"
MGP000021,"[('C', 'extracellular vesicular exosome'), ('C', 'mitochondrial matrix'), ('C', 'mitochondrion'), ('F', 'acyl-CoA dehydrogenase activity'), ('F', 'flavin adenine dinucleotide binding'), ('P', 'branched-chain amino acid catabolic process'), ('P', 'cellular nitrogen compound metabolic process'), ('P', 'fatty acid metabolic process'), ('P', 'small molecule metabolic process')]"
MGP000022,"[('C', 'cytoplasm'), ('C', 'mitochondrial inner membrane'), ('C', 'mitochondrial matrix'), ('C', 'mitochondrial nucleoid'), ('C', 'mitochondrion'), ('C', 'nucleolus'), ('C', 'nucleus'), ('F', 'acyl-CoA dehydrogenase activity'), ('F', 'flavin adenine dinucleotide binding'), ('F', 'long-chain-acyl-CoA dehydrogenase activity'), ('P', 'activation of signaling protein activity involved in unfolded protein response'), ('P', 'cellular lipid metabolic process'), ('P', 'cellular protein metabolic process'), ('P', 'endoplasmic reticulum unfolded protein response'), ('P', 'energy derivation by oxidation of organic compounds'), ('P', 'epithelial cell differentiation'), ('P', 'fatty acid beta-oxidation'), ('P', 'fatty acid beta-oxidation using acyl-CoA dehydrogenase'), ('P', 'negative regulation of fatty acid biosynthetic process'), ('P', 'negative regulation of fatty acid oxidation'), ('P', 'regulation of cholesterol metabolic process'), ('P', 'small molecule metabolic process'), ('P', 'temperature homeostasis')]"
MGP000023,"[('C', 'extracellular vesicular exosome'), ('C', 'mitochondrial inner membrane'), ('C', 'mitochondrial matrix'), ('C', 'mitochondrion'), ('F', 'acetyl-CoA C-acetyltransferase activity'), ('F', 'coenzyme binding'), ('F', 'metal ion binding'), ('P', 'adipose tissue development'), ('P', 'brain development'), ('P', 'branched-chain amino acid catabolic process'), ('P', 'cellular ketone body metabolic process'), ('P', 'cellular lipid metabolic process'), ('P', 'cellular nitrogen compound metabolic process'), ('P', 'ketone body biosynthetic process'), ('P', 'ketone body catabolic process'), ('P', 'liver development'), ('P', 'metanephric proximal convoluted tubule development'), ('P', 'protein homooligomerization'), ('P', 'response to hormone'), ('P', 'response to organic cyclic compound'), ('P', 'response to starvation'), ('P', 'small molecule metabolic process')]"
MGP000024,"[('C', 'cytoplasm'), ('C', 'extracellular vesicular exosome'), ('C', 'nucleolus'), ('C', 'nucleoplasm'), ('C', 'nucleus'), ('F', 'acetyl-CoA C-acetyltransferase activity'), ('P', 'lipid metabolic process')]"
MGP005824,"[('C', 'chromosome, telomeric region'), ('C', 'cytoplasm'), ('C', 'nuclear telomere cap complex'), ('C', 'nucleoplasm'), ('C', 'nucleus'), ('F', 'DNA binding'), ('F', 'DNA polymerase binding'), ('P', 'intracellular protein transport'), ('P', 'negative regulation of telomere maintenance via telomerase'), ('P', 'positive regulation of single-stranded telomeric DNA binding'), ('P', 'positive regulation of telomerase activity'), ('P', 'protection from non-homologous end joining at telomere'), ('P', 'protein localization to chromosome, telomeric region'), ('P', 'telomere assembly'), ('P', 'telomere capping'), ('P', 'telomere maintenance')]"
MGP000798,"[('C', 'endosome'), ('C', 'external side of plasma membrane'), ('C', 'extracellular region'), ('C', 'extracellular space'), ('C', 'extracellular vesicular exosome'), ('C', 'integral component of membrane'), ('C', 'plasma membrane'), ('F', 'actin binding'), ('F', 'bradykinin receptor binding'), ('F', 'carboxypeptidase activity'), ('F', 'chloride ion binding'), ('F', 'drug binding'), ('F', 'endopeptidase activity'), ('F', 'metallopeptidase activity'), ('F', 'peptidyl-dipeptidase activity'), ('F', 'zinc ion binding'), ('P', 'angiotensin catabolic process in blood'), ('P', 'angiotensin maturation'), ('P', 'arachidonic acid secretion'), ('P', 'blood vessel remodeling'), ('P', 'cellular protein metabolic process'), ('P', 'hematopoietic stem cell differentiation'), ('P', 'hormone catabolic process'), ('P', 'kidney development'), ('P', 'mononuclear cell proliferation'), ('P', 'peptide catabolic process'), ('P', 'regulation of blood pressure'), ('P', 'regulation of renal output by angiotensin'), ('P', 'regulation of smooth muscle cell migration'), ('P', 'regulation of systemic arterial blood pressure by renin-angiotensin'), ('P', 'regulation of vasoconstriction'), ('P', 'regulation of vasodilation')]"
MGP005699,"[('C', 'cell surface'), ('C', 'cytoplasm'), ('C', 'extracellular region'), ('C', 'extracellular space'), ('C', 'extracellular vesicular exosome'), ('C', 'integral component of membrane'), ('C', 'membrane raft'), ('C', 'plasma membrane'), ('F', 'carboxypeptidase activity'), ('F', 'endopeptidase activity'), ('F', 'glycoprotein binding'), ('F', 'peptide hormone binding'), ('F', 'virus receptor activity'), ('F', 'zinc ion binding'), ('P', 'angiotensin catabolic process in blood'), ('P', 'angiotensin maturation'), ('P', 'angiotensin-mediated drinking behavior'), ('P', 'cellular protein metabolic process'), ('P', 'maternal process involved in female pregnancy'), ('P', 'positive regulation of reactive oxygen species metabolic process'), ('P', 'receptor biosynthetic process'), ('P', 'receptor-mediated virion attachment to host cell'), ('P', 'regulation of cell proliferation'), ('P', 'regulation of cytokine production'), ('P', 'regulation of inflammatory response'), ('P', 'regulation of systemic arterial blood pressure by renin-angiotensin'), ('P', 'regulation of vasoconstriction'), ('P', 'regulation of vasodilation'), ('P', 'response to virus'), ('P', 'viral entry into host cell')]"
MGP006458,"[('C', 'endoplasmic reticulum'), ('C', 'endoplasmic reticulum membrane'), ('C', 'integral component of membrane'), ('F', 'ceramidase activity'), ('F', 'dihydroceramidase activity'), ('P', 'cell differentiation'), ('P', 'cellular response to calcium ion'), ('P', 'ceramide catabolic process'), ('P', 'epidermis development'), ('P', 'keratinocyte differentiation'), ('P', 'regulation of lipid metabolic process'), ('P', 'response to alkaline pH'), ('P', 'small molecule metabolic process'), ('P', 'sphingolipid biosynthetic process'), ('P', 'sphingolipid metabolic process'), ('P', 'sphingosine biosynthetic process')]"
MGP007013,"[('C', 'Golgi apparatus'), ('C', 'Golgi membrane'), ('C', 'integral component of Golgi membrane'), ('F', 'ceramidase activity'), ('F', 'dihydroceramidase activity'), ('P', 'activation of cysteine-type endopeptidase activity involved in apoptotic process'), ('P', 'cellular response to drug'), ('P', 'ceramide metabolic process'), ('P', 'negative regulation of cell adhesion mediated by integrin'), ('P', 'negative regulation of cell-matrix adhesion'), ('P', 'negative regulation of protein glycosylation in Golgi'), ('P', 'positive regulation of cell death'), ('P', 'positive regulation of cell proliferation'), ('P', 'response to retinoic acid'), ('P', 'small molecule metabolic process'), ('P', 'sphingolipid biosynthetic process'), ('P', 'sphingolipid metabolic process'), ('P', 'sphingosine biosynthetic process')]"
MGP005421,"[('C', 'endoplasmic reticulum membrane'), ('C', 'integral component of endoplasmic reticulum membrane'), ('C', 'integral component of Golgi membrane'), ('F', 'phytoceramidase activity'), ('P', 'ceramide metabolic process'), ('P', 'phytosphingosine biosynthetic process'), ('P', 'positive regulation of cell proliferation'), ('P', 'small molecule metabolic process'), ('P', 'sphingolipid biosynthetic process'), ('P', 'sphingolipid metabolic process'), ('P', 'sphingosine biosynthetic process')]"
MGP000027,"[('C', 'anchored component of membrane'), ('C', 'basal lamina'), ('C', 'cell junction'), ('C', 'cell surface'), ('C', 'extracellular region'), ('C', 'extracellular space'), ('C', 'Golgi apparatus'), ('C', 'membrane'), ('C', 'neuromuscular junction'), ('C', 'nucleus'), ('C', 'perinuclear region of cytoplasm'), ('C', 'plasma membrane'), ('C', 'synapse'), ('F', 'acetylcholine binding'), ('F', 'acetylcholinesterase activity'), ('F', 'beta-amyloid binding'), ('F', 'cholinesterase activity'), ('F', 'collagen binding'), ('F', 'hydrolase activity'), ('F', 'laminin binding'), ('F', 'protein homodimerization activity'), ('F', 'serine hydrolase activity'), ('P', 'acetylcholine catabolic process'), ('P', 'acetylcholine catabolic process in synaptic cleft'), ('P', 'amyloid precursor protein metabolic process'), ('P', 'cell adhesion'), ('P', 'cell proliferation'), ('P', 'DNA replication'), ('P', 'glycerophospholipid biosynthetic process'), ('P', 'muscle organ development'), ('P', 'negative regulation of synaptic transmission, cholinergic'), ('P', 'nervous system development'), ('P', 'neurotransmitter biosynthetic process'), ('P', 'neurotransmitter receptor biosynthetic process'), ('P', 'osteoblast development'), ('P', 'phosphatidylcholine biosynthetic process'), ('P', 'phospholipid metabolic process'), ('P', 'positive regulation of protein secretion'), ('P', 'protein tetramerization'), ('P', 'receptor internalization'), ('P', 'regulation of receptor recycling'), ('P', 'response to wounding'), ('P', 'retina development in camera-type eye'), ('P', 'small molecule metabolic process'), ('P', 'synapse assembly'), ('P', 'synaptic transmission')]"
MGP004557,"[('C', 'ASAP complex'), ('C', 'cytoplasm'), ('C', 'cytosol'), ('C', 'nuclear speck'), ('C', 'nucleolus'), ('C', 'nucleoplasm'), ('C', 'nucleus'), ('C', 'plasma membrane'), ('F', 'ATPase activity'), ('F', 'enzyme binding'), ('F', 'nucleic acid binding'), ('F', 'nucleotide binding'), ('F', 'poly(A) RNA binding'), ('P', 'apoptotic chromosome condensation'), ('P', 'apoptotic process'), ('P', 'ATP catabolic process'), ('P', 'cellular component disassembly involved in execution phase of apoptosis'), ('P', 'erythrocyte differentiation'), ('P', 'mRNA processing'), ('P', 'negative regulation of mRNA splicing, via spliceosome'), ('P', 'positive regulation of apoptotic process'), ('P', 'positive regulation of monocyte differentiation'), ('P', 'RNA splicing')]"
MGP001117,"[('C', 'early endosome'), ('C', 'integral component of membrane'), ('C', 'plasma membrane'), ('C', 'recycling endosome'), ('F', 'C-C chemokine binding'), ('F', 'G-protein coupled receptor activity'), ('F', 'receptor activity'), ('F', 'transmembrane signaling receptor activity'), ('P', 'chemokine-mediated signaling pathway'), ('P', 'defense response'), ('P', 'inflammatory response'), ('P', 'regulation of chemokine production')]"
MGP000604,"[('C', 'actin filament'), ('C', 'early endosome'), ('C', 'integral component of plasma membrane'), ('C', 'plasma membrane'), ('C', 'recycling endosome'), ('F', 'C-C chemokine receptor activity'), ('F', 'chemokine receptor activity'), ('F', 'C-X-C chemokine receptor activity'), ('F', 'scavenger receptor activity'), ('P', 'chemokine-mediated signaling pathway'), ('P', 'chemotaxis'), ('P', 'G-protein coupled receptor signaling pathway'), ('P', 'immune response'), ('P', 'inflammatory response'), ('P', 'multicellular organismal development'), ('P', 'neutrophil activation'), ('P', 'receptor-mediated endocytosis')]"
MGP005585,"[('C', 'cell surface'), ('C', 'coated pit'), ('C', 'early endosome'), ('C', 'endosome'), ('C', 'integral component of membrane'), ('C', 'perinuclear region of cytoplasm'), ('C', 'plasma membrane'), ('C', 'recycling endosome'), ('F', 'coreceptor activity'), ('F', 'C-X-C chemokine binding'), ('F', 'C-X-C chemokine receptor activity'), ('F', 'scavenger receptor activity'), ('P', 'angiogenesis'), ('P', 'cell adhesion'), ('P', 'chemokine-mediated signaling pathway'), ('P', 'chemotaxis'), ('P', 'negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage'), ('P', 'positive regulation of ERK1 and ERK2 cascade'), ('P', 'receptor internalization'), ('P', 'vasculogenesis'), ('P', 'viral process')]"
MGP005205,"[('C', 'early endosome'), ('C', 'integral component of plasma membrane'), ('C', 'plasma membrane'), ('C', 'recycling endosome'), ('F', 'chemokine receptor activity'), ('F', 'scavenger receptor activity'), ('P', 'chemokine-mediated signaling pathway'), ('P', 'chemotaxis'), ('P', 'G-protein coupled receptor signaling pathway'), ('P', 'immune response')]"
MGP000028,"[('C', 'citrate lyase complex'), ('C', 'cytoplasm'), ('C', 'cytosol'), ('C', 'extracellular vesicular exosome'), ('C', 'membrane'), ('C', 'mitochondrion'), ('C', 'nucleoplasm'), ('C', 'plasma membrane'), ('F', 'ATP binding'), ('F', 'ATP citrate synthase activity'), ('F', 'cofactor binding'), ('F', 'metal ion binding'), ('F', 'succinate-CoA ligase (ADP-forming) activity'), ('P', 'ATP catabolic process'), ('P', 'cellular carbohydrate metabolic process'), ('P', 'cellular lipid metabolic process'), ('P', 'citrate metabolic process'), ('P', 'coenzyme A metabolic process'), ('P', 'energy reserve metabolic process'), ('P', 'lipid biosynthetic process'), ('P', 'long-chain fatty-acyl-CoA biosynthetic process'), ('P', 'positive regulation of cellular metabolic process'), ('P', 'small molecule metabolic process'), ('P', 'triglyceride biosynthetic process')]"
MGP006507,"[('C', 'cytosol'), ('C', 'extracellular vesicular exosome'), ('F', 'aminocarboxymuconate-semialdehyde decarboxylase activity'), ('F', 'metal ion binding'), ('P', 'cellular nitrogen compound metabolic process'), ('P', 'quinolinate metabolic process'), ('P', 'small molecule metabolic process'), ('P', 'tryptophan catabolic process')]"
MGP000029,"[('C', 'cytoplasm'), ('C', 'cytosol'), ('C', 'endoplasmic reticulum'), ('C', 'extracellular vesicular exosome'), ('C', 'Golgi apparatus'), ('C', 'mitochondrion'), ('F', '4 iron, 4 sulfur cluster binding'), ('F', 'aconitate hydratase activity'), ('F', 'iron-responsive element binding'), ('F', 'metal ion binding'), ('F', 'RNA binding'), ('P', 'cellular iron ion homeostasis'), ('P', 'citrate metabolic process'), ('P', 'intestinal absorption'), ('P', 'post-embryonic development'), ('P', 'regulation of translation'), ('P', 'response to iron(II) ion'), ('P', 'tricarboxylic acid cycle')]"
